epoch,epoch_loss,split,loss,acc,sample_fn
45,0.032224834,val,0.16727176,0.9329074074074074,gumbel_soft
45,0.032224834,test,1.0688661,0.8480849270322954,gumbel_soft
46,0.03221387,train,0.030993516,0.9879611111111111,gumbel_soft
46,0.03221387,val,0.16102263,0.9332222222222222,gumbel_soft
46,0.03221387,test,1.2681098,0.8298298298298298,gumbel_soft
47,0.03109368,train,0.029896988,0.9883277777777778,gumbel_soft
47,0.03109368,val,0.15977636,0.9367407407407408,gumbel_soft
47,0.03109368,test,1.4633843,0.8215759619268391,gumbel_soft
48,0.029636038,train,0.036224727,0.9864555555555555,gumbel_soft
48,0.029636038,val,0.07807638,0.9715555555555555,gumbel_soft
48,0.029636038,test,1.0490365,0.8646190049698822,gumbel_soft
49,0.030501842,train,0.02848479,0.9888777777777777,gumbel_soft
49,0.030501842,val,0.115183346,0.9547037037037037,gumbel_soft
49,0.030501842,test,0.9182423,0.8705372038705372,gumbel_soft
50,0.02784361,train,0.026220303,0.9896,gumbel_soft
50,0.02784361,val,0.15127838,0.9424074074074074,gumbel_soft
50,0.02784361,test,1.0080752,0.8601671847285882,gumbel_soft
51,0.025881482,train,0.025618928,0.9893722222222222,gumbel_soft
51,0.025881482,val,0.1655476,0.9261666666666667,gumbel_soft
51,0.025881482,test,1.3933544,0.8114869255220133,gumbel_soft
52,0.02699449,train,0.024898112,0.9903,gumbel_soft
52,0.02699449,val,0.104215905,0.958,gumbel_soft
52,0.02699449,test,1.4047492,0.8247897019826844,gumbel_soft
53,0.026301682,train,0.03248224,0.9877,gumbel_soft
53,0.026301682,val,0.058627773,0.9802222222222222,gumbel_soft
53,0.026301682,test,1.2125347,0.8527913878791071,gumbel_soft
54,0.028270746,train,0.02443181,0.9901777777777778,gumbel_soft
54,0.028270746,val,0.11790882,0.9519814814814814,gumbel_soft
54,0.028270746,test,1.3976551,0.8330435698856752,gumbel_soft
55,0.027310384,train,0.025303574,0.9896722222222222,gumbel_soft
55,0.027310384,val,0.13094243,0.9472222222222222,gumbel_soft
55,0.027310384,test,1.5243926,0.8355021688355022,gumbel_soft
56,0.029088132,train,0.025835913,0.9898055555555556,gumbel_soft
56,0.029088132,val,0.08906816,0.9663148148148148,gumbel_soft
56,0.029088132,test,1.3130976,0.8576910243576911,gumbel_soft
