feature,value,0,1,2,3,4
attn_0_1_outputs,_,0.11401241,-0.0021471465,0.51047343,-0.8341916,0.9550925
attn_0_2_outputs,0,-0.23521955,-0.39673233,0.089902334,-0.05224073,-0.20085098
attn_0_2_outputs,1,-0.448991,-0.3757277,-0.2018903,-0.36251515,-0.40259072
attn_0_2_outputs,2,-0.0027377747,-0.25291237,1.65554,0.02013261,-0.13868463
attn_0_2_outputs,3,0.41451514,0.21626575,-1.2209021,0.7090494,0.34482652
attn_0_2_outputs,4,0.10347403,-0.11104619,0.27535787,0.018290782,-0.119623534
attn_0_2_outputs,</s>,0.4589413,-0.28918177,-0.018138612,-0.071299106,0.17990443
attn_0_2_outputs,<pad>,-0.30148286,-0.6049236,0.13865797,-0.3851563,-0.6466936
attn_0_2_outputs,<s>,0.78052247,0.48552078,-1.4059163,0.73336816,0.57300603
attn_0_2_outputs,_,0.16641356,0.1795774,0.37507305,0.1154236,0.34232932
attn_0_2_outputs,_,0.58589065,0.32411015,0.15498658,-0.22864115,0.2224564
attn_0_2_outputs,_,0.4282376,0.42524284,-0.09209134,-0.4141763,0.07739768
attn_0_2_outputs,_,0.5125933,0.09725252,0.3388806,-0.2092351,-0.25407946
attn_0_2_outputs,_,0.69178003,-0.09182332,0.007485009,-0.4203984,-0.10637915
attn_0_2_outputs,_,0.3968039,-0.3556708,-0.13753675,-0.52068573,-0.6049081
attn_0_2_outputs,_,0.36515698,0.100764155,0.044289324,0.019002749,0.2089746
attn_0_2_outputs,_,0.55184954,0.5409258,0.4008941,-0.018031945,-0.05147164
attn_0_2_outputs,_,0.20782787,0.33722487,-0.020232063,-0.38265255,-0.4410273
attn_0_2_outputs,_,0.3195006,0.07073689,-0.25320265,-0.11660931,-0.13745958
attn_0_2_outputs,_,0.50150365,0.04706771,0.008039832,0.1683354,-0.03307393
attn_0_2_outputs,_,1.364483,0.6359437,0.2792677,-0.097679585,0.2022248
attn_0_2_outputs,_,0.95108455,0.49651325,0.18000595,0.11162027,0.31467557
attn_0_2_outputs,_,0.619671,0.05328824,0.7624166,0.14818041,-0.04210733
attn_0_2_outputs,_,0.58510256,0.02775464,0.5687376,-0.2641845,0.08832784
attn_0_2_outputs,_,0.2219823,0.11820289,0.06928857,-0.22184516,0.07240492
attn_0_2_outputs,_,0.10144356,0.0023913668,0.6134472,-0.25398523,-0.41862264
attn_0_2_outputs,_,0.34345424,0.24051407,0.58392435,-0.5408244,0.1271798
attn_0_2_outputs,_,0.8154484,0.11889124,0.4392307,-0.32441038,-0.41740695
attn_0_2_outputs,_,0.33707315,0.43871292,-0.053587224,-0.20583166,-0.6760286
attn_0_2_outputs,_,0.10363351,0.019490102,0.022225944,0.2105459,-0.0010233134
attn_0_2_outputs,_,-0.012441094,0.28840417,-0.1088364,-0.36959836,0.1097991
attn_0_2_outputs,_,0.064032845,0.40425968,-0.08731826,-0.5681913,0.5741148
attn_0_2_outputs,_,-0.2791059,0.12252177,-0.15266147,-1.1684355,0.3919415
attn_0_2_outputs,_,0.48145586,0.51466733,0.437991,-0.8438235,-0.23722588
attn_0_2_outputs,_,0.0797127,-0.11044289,0.30530748,-0.0645155,0.6321011
attn_0_2_outputs,_,-0.8338897,-0.25829926,0.57476586,-0.59914255,-0.30158108
attn_0_2_outputs,_,-0.44353944,-0.44941205,-0.30770063,-0.29377732,0.24059083
attn_0_2_outputs,_,-0.8233047,0.38162708,-0.1711422,0.25344357,0.54737043
attn_0_2_outputs,_,-0.098483935,0.3455086,0.14314868,-0.37752023,0.6055876
attn_0_2_outputs,_,-0.13778226,-0.07437707,0.049065053,0.72682786,-0.045969952
attn_0_2_outputs,_,-0.36840528,0.25130534,0.43675944,-0.74929506,0.68660796
attn_0_3_outputs,0,0.26822862,0.13549756,0.054559052,-0.018780084,-0.20053968
attn_0_3_outputs,1,-0.42041615,0.4473678,-0.005254922,-0.17120466,-0.41178033
attn_0_3_outputs,2,-0.22321732,0.19255589,0.58010703,0.0014603483,-0.21118023
attn_0_3_outputs,3,-0.058015753,0.29571098,0.30981764,0.7024807,0.02039981
attn_0_3_outputs,4,0.08672693,0.35791326,0.3879857,0.26906118,0.5889238
