feature,value,1,2,3,4,5,6
num_attn_0_1_outputs,_,-5.5047407,-6.7148943,0.682694,6.8770056,12.280572,16.787596
num_attn_0_2_outputs,_,-6.1364484,-6.78348,0.80141443,7.4583735,13.0665,16.58481
num_attn_0_3_outputs,_,2.4234426,2.2506804,0.05500277,-2.5093217,-4.657315,-8.523638
num_mlp_0_0_outputs,0,3.0643222,-1.9640685,-1.5422851,-0.663626,0.024282262,-0.14639957
num_mlp_0_0_outputs,1,5.14827,-3.958299,-1.0416337,-0.9211223,-0.46059752,-0.2597925
num_mlp_0_0_outputs,10,1.3759096,-0.690937,-0.47639394,-0.5673392,-0.70951766,-0.52711743
num_mlp_0_0_outputs,11,1.1189703,-0.046483446,-1.1834551,-0.5157618,-0.010555782,-0.53897935
num_mlp_0_0_outputs,12,5.0455933,-3.5405402,-2.8161812,-1.1285586,-0.53317237,-0.3482721
num_mlp_0_0_outputs,13,1.7756586,-1.3962787,-0.4623035,-0.12083051,-0.5490762,-0.36859962
num_mlp_0_0_outputs,14,4.594605,-4.138442,-2.1579165,-0.40279347,-0.8515679,-0.36581495
num_mlp_0_0_outputs,15,1.5305076,-0.63221365,-0.22419393,-0.8294076,-0.4138819,-0.13184676
num_mlp_0_0_outputs,16,3.7033837,-3.3315737,-1.1052648,-0.84201586,-1.1443747,-0.1009966
num_mlp_0_0_outputs,17,7.8140116,-6.797563,-7.121598,-1.7644879,-0.7262923,-0.31558213
num_mlp_0_0_outputs,18,5.8102098,-4.1981745,-5.3928795,-0.37022254,-0.5854928,-0.42295125
num_mlp_0_0_outputs,19,1.2435042,-1.0585154,-0.69764507,-1.043645,-0.23640138,-1.1727304
num_mlp_0_0_outputs,2,-2.8308175,7.700638,1.0936698,-4.257025,-13.176305,-21.689665
num_mlp_0_0_outputs,3,0.42399085,2.198701,-1.3811079,-1.1941671,-0.80523115,-1.3473411
num_mlp_0_0_outputs,4,6.517758,-4.740371,-4.659836,-0.93889946,-0.42386517,0.23731716
